wall_time,stamp_sec,x,y,z,yaw
130.8,130.784,2.2663682888155505,-0.1794300792903593,-4.92215942462515e-05,-0.05069259927818429
131.0,130.984,2.2663626959826026,-0.17945655234369567,-4.779074999969324e-05,-0.05072037457056796
131.20000000000002,131.184,2.2663588709866618,-0.17948571248675663,-4.80743931797617e-05,-0.05075184234429773
131.4,131.384,2.266368132207398,-0.1794975465246148,-4.3651548786591277e-05,-0.05074915085497995
131.6,131.584,2.266363798873285,-0.17952448917522726,-4.367341576187733e-05,-0.05078418319107265
131.8,131.784,2.2663833666500333,-0.17951981191031452,-4.302029197214563e-05,-0.05069443706689639
132.0,131.984,2.2663934464069198,-0.17952499460832808,-4.836299314930903e-05,-0.05068278133934609
132.20000000000002,132.184,2.266425603114191,-0.17949709813928344,-4.344429089990498e-05,-0.05035289807519362
132.4,132.384,2.266418387581218,-0.17951789139985555,-4.3514260046118025e-05,-0.05036150724561918
132.6,132.584,2.2664126730620557,-0.179542570872317,-4.355848536768958e-05,-0.0503767080761027
132.8,132.784,2.266405738434868,-0.17956752019162875,-4.359867016000274e-05,-0.0503769069285074
133.0,132.984,2.266418703037145,-0.17956957833127848,-4.328987290554143e-05,-0.05030656842336407
133.20000000000002,133.184,2.2664211886693044,-0.17959121916480433,-4.34166067862507e-05,-0.05031328634032368
133.4,133.384,2.2664261830713257,-0.17959775226278377,-4.257089306472506e-05,-0.05019062723181161
133.6,133.584,2.2664226584867397,-0.17962179278996518,-4.1090525011680534e-05,-0.04997405843236783
133.8,133.784,2.266261390057101,-0.17961103988155724,-3.543524006323351e-05,-0.050885525216846084
134.0,133.984,2.2660749745226383,-0.179584187405363,-2.5327689917836738e-05,-0.052041185088230815
134.20000000000002,134.184,2.2658854419214602,-0.1795597109231855,-1.4334180327493784e-05,-0.053204554592507156
134.4,134.384,2.265736046085947,-0.1795720123178342,-9.223219129689264e-06,-0.05408719877762561
134.6,134.584,2.2656154075036787,-0.17958799427734862,-6.270842974914759e-06,-0.05449960474821066
134.8,134.784,2.265506589340592,-0.17951873270716337,-7.197420817645073e-06,-0.05438733651194742
135.0,134.984,2.265397343927408,-0.1794494754247996,-8.183189101104715e-06,-0.05427367151111136
135.20000000000002,135.184,2.265287668913985,-0.1793802197849572,-9.231844576976234e-06,-0.05415860298294382
135.4,135.384,2.265177562467608,-0.17931096525080253,-1.0344114687088624e-05,-0.05404212496654768
135.6,135.584,2.265068276814001,-0.1792498480503483,-1.0644978680501849e-05,-0.053993920874653385
135.8,135.784,2.2649620487009625,-0.17922829502423374,-9.513551839576695e-06,-0.05406251379637713
136.0,135.984,2.2648900195994486,-0.17921120969872906,-1.287720267052761e-05,-0.05410027553397429
136.20000000000002,136.184,2.264791559811864,-0.1792034094714095,-1.2664152683430907e-05,-0.054164427281461085
136.4,136.384,2.2646978779269147,-0.179201103415378,-1.404361339152338e-05,-0.05436689886105868
136.6,136.584,2.2646049423078605,-0.17921148777824739,-6.456681707928125e-06,-0.05455012182197446
136.8,136.784,2.264524577293122,-0.17917082632376669,-9.253202353939893e-06,-0.0543491850392797
137.0,136.984,2.2644221016435315,-0.17913969922986916,-3.951540241534102e-06,-0.05427680210296483
137.20000000000002,137.184,2.264329222383336,-0.17909458974752993,-3.5739687315738955e-06,-0.05439661877769774
137.4,137.384,2.264249409053599,-0.17904378028714585,-2.388144587556207e-06,-0.05452148893419848
137.60000000000002,137.584,2.2641541494903596,-0.17902178837447716,-2.9473364140109037e-06,-0.054583135908161974
137.8,137.784,2.2640754792872055,-0.17897268896759763,-7.0125795764569565e-06,-0.05478686855913108
138.0,137.984,2.2639672969330875,-0.1789383490078383,-8.211391063536744e-06,-0.0548709925127409
138.20000000000002,138.184,2.2638952194264714,-0.17889962726264466,-7.970928405376387e-06,-0.05504726930533553
138.4,138.384,2.263799394492259,-0.1788345898084464,-9.117947734241238e-06,-0.05510590220660834
138.60000000000002,138.584,2.2637168553921514,-0.17876233878840775,-8.080271259230942e-06,-0.05514498528136264
138.8,138.784,2.2636142288623127,-0.17870934479323694,-1.0201040865992494e-05,-0.0552628961651488
139.0,138.984,2.2635138832570396,-0.17865119202375546,-4.831944865182902e-06,-0.055357107404227356
139.20000000000002,139.184,2.263427363884792,-0.178574034260475,-9.150970032428818e-06,-0.05529716094293766
139.4,139.384,2.2633520418962325,-0.17850865272808727,-6.051383707642022e-06,-0.05549317345588655
139.60000000000002,139.584,2.263241911230155,-0.17846692399242972,-1.1134445443275465e-05,-0.05573190286211688
139.8,139.784,2.263142249951492,-0.17842782315965255,-7.298979562836427e-06,-0.05575164793499584
140.0,139.984,2.263022739355635,-0.17841783449693047,-8.244704046866946e-06,-0.056281459468994044
140.20000000000002,140.184,2.2629103211990023,-0.17838112654373492,-1.5006623743749059e-05,-0.056596297520627246
140.4,140.384,2.262789271694141,-0.17834668986862684,-1.221466752586442e-05,-0.05679092345375338
140.60000000000002,140.584,2.2626831985679483,-0.17830429237148737,-1.7712375164610772e-05,-0.05696744396715756
140.8,140.784,2.262564728570104,-0.17827279926586712,-1.5483925363685147e-05,-0.05748533101952771
141.0,140.984,2.2624404759066823,-0.17823910186613534,-2.1956670700776226e-05,-0.05781898776624843
141.20000000000002,141.184,2.262321603275476,-0.17821785996303202,-2.003049320986605e-05,-0.05816477636836244
141.4,141.384,2.2621656154305385,-0.17820107421054862,-3.4196911465625424e-05,-0.0588082288805651
141.60000000000002,141.584,2.2620197231681525,-0.1781813339073577,-3.069981633471719e-05,-0.0592018670949078
141.8,141.784,2.2618827915631923,-0.17814213273951068,-4.085744616699749e-05,-0.05955339854989043
142.0,141.984,2.2617497318371265,-0.17810737134200805,-3.724457511525281e-05,-0.060077870414753466
142.20000000000002,142.184,2.2616466702427593,-0.17807648665980597,-4.435244412460959e-05,-0.060422450183187766
142.4,142.384,2.261593172535904,-0.17806951796906678,-4.2599620032029994e-05,-0.06068382903410762
142.60000000000002,142.584,2.261475200915904,-0.1781367451006904,-3.128177316012726e-05,-0.061466454743300154
142.8,142.784,2.2613446213662787,-0.17821614873261024,-2.3957917875738755e-05,-0.06234205335630191
143.0,142.984,2.2612130761416984,-0.17829567145551997,-1.724185678812773e-05,-0.06322289670844537
143.20000000000002,143.184,2.261080554087226,-0.17837530817748534,-1.1138271642160968e-05,-0.06410899469412994
143.4,143.384,2.2609418926371774,-0.1784520077319042,-1.182884861335165e-05,-0.064990739170553
143.60000000000002,143.584,2.2609811834220213,-0.17834123561083884,1.588811725489192e-06,-0.06616307951917273
143.8,143.784,2.2611817667390133,-0.17808610948488365,1.3954143230174298e-05,-0.0676592912169425
144.0,143.984,2.261380186070891,-0.1778270837894217,2.191195661448153e-05,-0.06914191624161402
144.20000000000002,144.184,2.261576510357867,-0.17756445009974145,2.5559232417080024e-05,-0.07061225823325624
144.4,144.384,2.2617708155784855,-0.1772984649833044,2.501066826786358e-05,-0.07207086733099297
144.60000000000002,144.584,2.261963194691092,-0.177029216996773,2.037910127856979e-05,-0.07351688181437238
144.8,144.784,2.2610822405657593,-0.17691021575537888,1.6803267457482507e-05,-0.1303594662931016
145.0,144.984,2.259799912924878,-0.1763007180542008,1.7240129521464698e-05,-0.1910086875972953
145.20000000000002,145.184,2.258769277542664,-0.17689387919195165,2.168703423928442e-05,-0.25199751357093786
